Player,Nation,Pos,Squad,Comp,Age,MP,Starts,Min,Minutes_90s,Gls,Ast,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,PrgC,PrgP,PrgR,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,Goals_minus_xG,npGoals_minus_xG,Cmp,Att,Cmp%,TotDist,PrgDist,xA,Ast_minus_xAG,KP,Passes_Final3rd,PPA,CrsPA,TB,Sw,Crs,TI,CK,Off,Blocks,SCA,SCA90,PassLive,PassDead,TO,Fld,GCA,GCA90,Tkl,TklW,Tkl_Def3rd,Tkl_Mid3rd,Tkl_Att3rd,Tkl%,Int,Tkl+Int,Clr,Err,Touches,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,Mn/MP,Min%,Mn/Start,Subs,Mn/Sub,PPM,PlusMinus,PlusMinus_90,xG_PlusMinus,xG_PlusMinus_90,TwoCrdY,Fls,PKwon,PKcon,OG,Recov,Won,Won%,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,PKm,PSxG,PSxG/SoT,PSxG+/-,GK_PassAtt,Thr,Launch%,AvgLen,Opp,Stp,Stp%,GK_OPA,GK_OPA_90,AvgDist,Gls_p90,Ast_p90,xG_p90,npxG_p90,xAG_p90,xA_p90,PrgC_p90,PrgP_p90,PrgR_p90,Sh_p90,SoT_p90,FK_p90,KP_p90,1/3_p90,PPA_p90,CrsPA_p90,Crs_p90,TI_p90,CK_p90,Off_p90,Blocks_p90,SCA_p90,GCA_p90,PassLive_p90,PassDead_p90,TO_p90,Fld_p90,Tkl_p90,TklW_p90,Tkl+Int_p90,Int_p90,Clr_p90,Err_p90,Touches_p90,Carries_p90,CPA_p90,Mis_p90,Dis_p90,Rec_p90,Recov_p90,Fls_p90,Won_p90,G-xG_p90,np:G-xG_p90,A-xAG_p90,Cmp_p90,Att_p90,TotDist_p90,PrgDist_p90,Succ_p90,Tkld_p90,CrdY_p90,PKwon_p90,PKcon_p90,Subs_p90,Pos_Primary,score_FW,score_DF,score_MF,score_GK,radar_FW_Remate,radar_FW_Gol,radar_FW_Precision,radar_FW_Creacion,radar_FW_Movimiento,radar_FW_Conduccion,radar_DF_Defensa,radar_DF_Pase,radar_DF_Despeje,radar_DF_Aereo,radar_DF_Progresion,radar_DF_Errores,radar_MF_Creacion,radar_MF_Progresion,radar_MF_Defensa,radar_MF_Asistencia,radar_MF_Conduccion,radar_MF_Pase,radar_GK_Calidad,radar_GK_Paradas,radar_GK_GolesEnc,radar_GK_PorteriaACero,radar_GK_Pase
Andreas Skov Olsen,dk DEN,"FW,MF",Wolfsburg,de Bundesliga,24.0,12,4,535,5.9,1,1,0,0,0,0,0.8,0.8,1.9,22,22,48,7,1,14.3,1.18,0.17,0.14,1.0,14.2,0,0.12,0.2,0.2,217,270,80.4,3677,768,1.3,-0.9,18,12,10,2,0,4,29,8,9,0,6,32,5.38,24,4,1,1,1,0.17,8,6,5,3,0,100.0,2,10,12,0,329,4,28.6,9,64.3,188,7,7,5,226,45.0,17.5,75.0,8,29.0,1.17,0,0.0,-0.1,-0.01,0,2,0,0,0,18,3,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.168,0.168,0.135,0.135,0.32,0.219,3.701,3.701,8.075,1.178,0.168,0.0,3.028,2.019,1.682,0.336,4.879,1.346,1.514,0.0,1.009,5.383,0.168,4.037,0.673,0.168,0.168,1.346,1.009,1.682,0.336,2.019,0.0,55.346,31.626,1.178,1.178,0.841,38.019,3.028,0.336,0.505,0.034,0.034,-0.151,36.505,45.421,618.561,129.196,0.673,1.514,0.0,0.0,0.0,1.346,FW,0.2107,,,,0.1012,0.1462,0.0659,0.4165,0.4013,0.2927,,,,,,,,,,,,,,,,,
Andrei Ratiu,ro ROU,DF,Rayo Vallecano,es La Liga,26.0,35,34,3065,34.1,2,3,0,0,5,0,1.8,1.8,5.7,122,145,167,31,7,22.6,0.91,0.21,0.06,0.29,19.1,0,0.06,0.2,0.2,1435,1759,81.6,21787,7420,3.9,-2.7,36,105,23,11,3,2,77,292,0,8,56,91,2.67,68,5,8,2,5,0.15,71,41,40,21,10,60.0,27,98,73,2,2193,76,51.7,63,42.9,1190,31,69,49,1365,88.0,89.6,89.0,1,34.0,1.37,-4,-0.12,-2.1,-0.06,0,24,0,0,0,169,20,37.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.059,0.088,0.053,0.053,0.167,0.115,3.582,4.258,4.904,0.91,0.206,0.0,1.057,3.083,0.675,0.323,2.261,8.574,0.0,0.235,1.644,2.672,0.147,1.997,0.147,0.235,0.059,2.085,1.204,2.878,0.793,2.144,0.059,64.395,34.943,0.91,2.026,1.439,40.082,4.962,0.705,0.587,0.006,0.006,-0.079,42.137,51.651,639.749,217.879,2.232,1.85,0.147,0.0,0.0,0.029,DF,,0.3804,,,,,,,,,0.3504,0.6464,0.1961,0.4189,0.3913,0.0983,,,,,,,,,,,
Andrej Ilic,rs SRB,FW,Union Berlin,de Bundesliga,24.0,16,11,937,10.4,7,0,1,1,1,0,4.9,4.1,0.3,5,13,59,27,11,40.7,2.59,1.06,0.22,0.55,12.1,0,0.15,2.1,1.9,110,191,57.6,1223,314,0.2,-0.3,6,16,0,0,1,1,3,0,0,0,4,15,1.44,9,0,1,2,2,0.19,2,2,0,2,0,0.0,5,7,6,1,302,1,14.3,6,85.7,151,4,32,9,209,59.0,30.6,69.0,5,35.0,1.25,-3,-0.29,-4.9,-0.47,0,14,0,0,0,16,52,48.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.672,0.0,0.471,0.394,0.029,0.019,0.48,1.249,5.667,2.593,1.057,0.0,0.576,1.537,0.0,0.0,0.288,0.0,0.0,0.0,0.384,1.441,0.192,0.864,0.0,0.096,0.192,0.192,0.192,0.672,0.48,0.576,0.096,29.007,14.504,0.384,3.074,0.864,20.075,1.537,1.345,4.995,0.202,0.182,-0.029,10.566,18.346,117.471,30.16,0.096,0.576,0.096,0.0,0.0,0.48,FW,0.3084,,,,0.3993,0.5849,0.4147,0.0236,0.2394,0.038,,,,,,,,,,,,,,,,,
Andrej Kramarić,hr CRO,"MF,FW",Hoffenheim,de Bundesliga,33.0,32,32,2767,30.7,11,8,3,3,4,0,11.8,9.5,4.3,75,143,202,66,23,34.8,2.15,0.75,0.12,0.35,15.8,2,0.15,-0.8,-1.5,1021,1314,77.7,15494,4102,5.7,3.7,49,101,38,15,5,5,116,23,44,10,34,102,3.32,78,13,2,2,14,0.46,15,8,5,8,2,54.5,7,22,11,1,1554,20,42.6,22,46.8,938,22,46,38,1153,86.0,90.4,86.0,0,,1.0,-22,-0.72,-9.9,-0.32,0,12,0,0,0,136,8,25.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.358,0.26,0.384,0.309,0.14,0.185,2.439,4.651,6.57,2.147,0.748,0.065,1.594,3.285,1.236,0.488,3.773,0.748,1.431,0.325,1.106,3.318,0.455,2.537,0.423,0.065,0.065,0.488,0.26,0.716,0.228,0.358,0.033,50.546,30.51,0.716,1.496,1.236,37.503,4.424,0.39,0.26,-0.026,-0.049,0.12,33.209,42.739,503.961,133.422,0.651,0.716,0.13,0.0,0.0,0.0,MF,,,0.3276,,,,,,,,,,,,,,0.4307,0.347,0.0437,0.4098,0.3252,0.5309,,,,,
Andrew Omobamidele,ie IRL,DF,Strasbourg,fr Ligue 1,22.0,10,6,539,6.0,0,0,0,0,5,1,0.0,0.0,0.0,0,9,0,0,0,,0.0,0.0,,,,0,,0.0,0.0,367,390,94.1,6665,2470,0.0,0.0,0,7,0,0,0,0,0,0,0,0,2,1,0.17,1,0,0,0,0,0.0,7,4,4,3,0,40.0,8,15,41,0,468,1,50.0,0,0.0,258,0,4,1,324,54.0,17.6,78.0,4,19.0,2.0,5,0.83,-0.1,-0.01,1,13,0,1,0,25,9,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.503,0.0,0.0,0.0,0.0,0.0,1.169,0.0,0.0,0.0,0.0,0.0,0.0,0.334,0.167,0.0,0.167,0.0,0.0,0.0,1.169,0.668,2.505,1.336,6.846,0.0,78.145,43.08,0.0,0.668,0.167,54.1,4.174,2.171,1.503,0.0,0.0,0.0,61.28,65.121,1112.894,412.43,0.167,0.0,0.835,0.0,0.167,0.668,DF,,0.5288,,,,,,,,,0.2862,0.9763,0.7527,0.8333,0.065,0.0,,,,,,,,,,,
Andrew Robertson,sct SCO,DF,Liverpool,eng Premier League,30.0,33,29,2482,27.6,0,1,0,0,3,1,1.2,1.2,4.6,64,176,108,15,2,13.3,0.54,0.07,0.0,0.0,14.9,0,0.08,-1.2,-1.2,1559,1885,82.7,26310,8407,4.3,-3.6,40,150,31,17,4,6,147,191,59,6,35,80,2.9,68,9,1,0,4,0.14,39,22,25,10,4,60.8,21,60,54,2,2084,7,38.9,10,55.6,1107,6,25,13,1399,75.0,72.6,82.0,4,29.0,2.27,39,1.41,33.7,1.22,0,11,0,1,1,105,7,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.036,0.044,0.044,0.167,0.156,2.321,6.382,3.916,0.544,0.073,0.0,1.45,5.439,1.124,0.616,5.33,6.926,2.139,0.218,1.269,2.901,0.145,2.466,0.326,0.036,0.0,1.414,0.798,2.176,0.761,1.958,0.073,75.568,40.141,0.218,0.907,0.471,50.729,3.807,0.399,0.254,-0.044,-0.044,-0.131,56.531,68.352,954.029,304.847,0.254,0.363,0.109,0.0,0.036,0.145,DF,,0.3759,,,,,,,,,0.2296,0.6755,0.1741,0.37,0.6428,0.1217,,,,,,,,,,,
Andrey Santos,br BRA,MF,Strasbourg,fr Ligue 1,20.0,32,32,2855,31.7,10,3,0,0,8,0,5.1,5.1,3.3,29,149,26,46,16,34.8,1.45,0.5,0.22,0.63,16.2,0,0.11,4.9,4.9,1401,1588,88.2,23008,7859,2.0,-0.3,27,141,15,0,8,1,0,1,0,7,23,56,1.77,47,0,1,2,6,0.19,110,74,47,51,12,58.6,32,142,67,1,1983,18,48.6,14,37.8,1015,3,44,11,1276,89.0,93.3,89.0,0,,1.72,13,0.41,-6.5,-0.21,0,29,1,1,0,188,37,60.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.315,0.095,0.161,0.161,0.104,0.063,0.914,4.697,0.82,1.45,0.504,0.0,0.851,4.445,0.473,0.0,0.0,0.032,0.0,0.221,0.725,1.765,0.189,1.482,0.0,0.032,0.063,3.468,2.333,4.476,1.009,2.112,0.032,62.511,31.996,0.095,1.387,0.347,40.224,5.926,0.914,1.166,0.154,0.154,-0.009,44.165,50.06,725.296,247.744,0.567,0.441,0.252,0.032,0.032,0.0,MF,,,0.3548,,,,,,,,,,,,,,0.2143,0.3514,0.6109,0.1241,0.1219,0.8258,,,,,
Andriy Lunin,ua UKR,GK,Real Madrid,es La Liga,25.0,7,7,630,7.0,0,1,0,0,0,0,0.0,0.0,0.9,0,0,0,0,0,,0.0,0.0,,,,0,,0.0,0.0,174,202,86.1,4252,2741,0.0,0.1,1,1,0,0,0,1,0,0,0,2,1,1,0.14,1,0,0,0,1,0.14,1,0,1,0,0,,0,1,3,0,209,0,,0,,116,0,0,0,109,90.0,18.4,90.0,0,,2.57,8,1.14,5.6,0.8,0,0,0,0,0,14,2,100.0,7.0,1.0,20.0,13.0,65.0,6.0,0.0,1.0,4.0,57.1,0.0,0.0,0.0,6.4,0.32,-0.6,155.0,29.0,20.0,26.9,61.0,2.0,3.3,12.0,1.71,14.9,0.0,0.143,0.0,0.0,0.129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.143,0.0,0.0,0.0,0.0,0.0,0.286,0.143,0.143,0.143,0.143,0.0,0.0,0.0,0.143,0.0,0.143,0.0,0.429,0.0,29.857,16.571,0.0,0.0,0.0,15.571,2.0,0.0,0.286,0.0,0.0,0.014,24.857,28.857,607.429,391.571,0.0,0.0,0.0,0.0,0.0,0.0,GK,,,,0.4634,,,,,,,,,,,,,,,,,,,0.4328,0.5363,0.1465,0.9517,0.8607
András Schäfer,hu HUN,MF,Union Berlin,de Bundesliga,25.0,26,17,1534,17.0,1,1,0,0,3,0,0.6,0.6,0.9,23,55,42,12,1,8.3,0.7,0.06,0.08,1.0,21.8,0,0.05,0.4,0.4,414,563,73.5,5736,1421,1.3,0.1,10,30,12,2,0,1,17,5,3,3,19,29,1.7,21,0,1,5,3,0.18,52,26,23,24,5,61.0,22,74,36,0,799,13,44.8,13,44.8,362,4,27,9,400,59.0,50.1,78.0,9,23.0,1.27,-8,-0.47,-9.0,-0.53,0,27,0,0,0,72,28,59.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.059,0.059,0.035,0.035,0.053,0.076,1.349,3.227,2.464,0.704,0.059,0.0,0.587,1.76,0.704,0.117,0.997,0.293,0.176,0.176,1.115,1.701,0.176,1.232,0.0,0.059,0.293,3.051,1.525,4.342,1.291,2.112,0.0,46.877,21.239,0.235,1.584,0.528,23.468,4.224,1.584,1.643,0.023,0.023,0.006,24.289,33.031,336.532,83.37,0.763,0.763,0.176,0.0,0.0,0.528,MF,,,0.2791,,,,,,,,,,,,,,0.1374,0.2101,0.5906,0.1546,0.1799,0.4129,,,,,
André,br BRA,MF,Wolves,eng Premier League,23.0,33,31,2472,27.5,0,0,0,0,7,0,0.4,0.4,0.8,10,109,11,10,1,10.0,0.36,0.04,0.0,0.0,25.5,0,0.04,-0.4,-0.4,1247,1342,92.9,19660,5471,0.7,-0.8,18,111,5,0,5,15,0,2,0,2,14,49,1.78,41,3,1,0,3,0.11,91,55,41,41,9,58.7,37,128,30,1,1623,16,50.0,12,37.5,912,0,30,21,1093,75.0,72.3,80.0,2,3.0,1.15,-7,-0.25,-10.6,-0.39,0,36,0,1,0,194,2,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.015,0.015,0.029,0.025,0.364,3.968,0.4,0.364,0.036,0.0,0.655,4.041,0.182,0.0,0.0,0.073,0.0,0.073,0.51,1.784,0.109,1.493,0.109,0.036,0.0,3.313,2.002,4.66,1.347,1.092,0.036,59.09,33.204,0.0,1.092,0.765,39.794,7.063,1.311,0.073,-0.015,-0.015,-0.029,45.4,48.859,715.777,199.187,0.583,0.437,0.255,0.0,0.036,0.073,MF,,,0.3238,,,,,,,,,,,,,,0.1573,0.2813,0.6386,0.0351,0.0485,0.9579,,,,,
André Ayew,gh GHA,FW,Le Havre,fr Ligue 1,34.0,27,15,1453,16.1,4,1,0,0,2,0,4.3,4.3,0.2,5,18,43,22,9,40.9,1.36,0.56,0.18,0.44,12.0,2,0.21,-0.3,-0.3,181,238,76.1,2231,272,0.3,0.8,8,7,3,0,0,0,7,3,0,0,10,20,1.24,15,0,1,2,1,0.06,18,10,3,7,8,53.8,3,21,21,1,378,5,38.5,7,53.8,159,3,26,26,226,54.0,47.5,77.0,12,25.0,1.04,-17,-1.05,-14.3,-0.89,0,19,0,0,0,26,37,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.248,0.062,0.266,0.266,0.012,0.019,0.31,1.115,2.663,1.363,0.557,0.124,0.496,0.434,0.186,0.0,0.434,0.186,0.0,0.0,0.619,1.239,0.062,0.929,0.0,0.062,0.124,1.115,0.619,1.301,0.186,1.301,0.062,23.414,9.849,0.186,1.61,1.61,13.999,1.61,1.177,2.292,-0.019,-0.019,0.05,11.211,14.742,138.19,16.848,0.31,0.434,0.124,0.0,0.0,0.743,FW,0.1495,,,,0.2174,0.2158,0.2185,0.0236,0.0374,0.0245,,,,,,,,,,,,,,,,,
André Ferreira,pt POR,GK,Valladolid,es La Liga,28.0,6,6,540,6.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,,0.0,0.0,,,,0,,0.0,0.0,138,195,70.8,3984,2985,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,1,0.17,0,1,0,0,0,0.0,0,0,0,0,0,,0,0,4,2,216,0,,0,,83,0,0,0,78,90.0,15.8,90.0,0,,0.0,-13,-2.17,-5.3,-0.89,0,0,0,0,0,6,0,0.0,20.0,3.33,39.0,19.0,56.4,0.0,0.0,6.0,0.0,0.0,3.0,0.0,0.0,15.3,0.35,-4.7,138.0,26.0,37.0,33.8,92.0,4.0,4.3,3.0,0.5,10.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.167,0.0,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.667,0.333,36.0,13.833,0.0,0.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,32.5,664.0,497.5,0.0,0.0,0.0,0.0,0.0,0.0,GK,,,,0.0122,,,,,,,,,,,,,,,,,,,0.2799,0.2961,1.0,0.0,0.5426
André Gomes,pt POR,MF,Lille,fr Ligue 1,31.0,20,16,1276,14.2,0,0,0,0,3,0,0.5,0.5,0.7,18,101,28,11,3,27.3,0.78,0.21,0.0,0.0,24.5,1,0.05,-0.5,-0.5,861,963,89.4,14106,3490,1.7,-0.7,10,96,15,1,5,11,11,4,0,1,11,26,1.83,24,0,2,0,1,0.07,27,13,9,11,7,35.5,6,33,11,2,1086,10,41.7,14,58.3,632,0,25,19,862,64.0,41.7,77.0,4,12.0,2.05,10,0.71,4.2,0.3,0,24,0,0,0,92,9,56.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.035,0.035,0.049,0.12,1.27,7.124,1.975,0.776,0.212,0.071,0.705,6.771,1.058,0.071,0.776,0.282,0.0,0.071,0.776,1.834,0.071,1.693,0.0,0.141,0.0,1.904,0.917,2.328,0.423,0.776,0.141,76.599,44.577,0.0,1.763,1.34,60.799,6.489,1.693,0.635,-0.035,-0.035,-0.049,60.729,67.923,994.937,246.16,0.705,0.987,0.212,0.0,0.0,0.282,MF,,,0.3587,,,,,,,,,,,,,,0.1718,0.5847,0.2869,0.2576,0.1693,0.8596,,,,,
André Onana,cm CMR,GK,Manchester Utd,eng Premier League,28.0,34,34,3060,34.0,0,0,0,0,0,0,0.0,0.0,0.2,0,1,0,0,0,,0.0,0.0,,,,0,,0.0,0.0,948,1306,72.6,22819,13922,0.2,-0.2,1,28,0,0,1,2,0,0,0,5,0,4,0.12,3,1,0,0,0,0.0,2,2,2,0,0,50.0,0,2,11,4,1371,1,100.0,0,0.0,961,0,1,0,832,90.0,89.5,90.0,0,,1.15,-6,-0.18,-1.5,-0.04,0,0,0,0,0,34,6,100.0,44.0,1.29,132.0,88.0,68.9,10.0,9.0,15.0,9.0,26.5,3.0,1.0,0.0,44.0,0.31,1.0,1152.0,136.0,29.7,30.3,399.0,22.0,5.5,23.0,0.68,11.8,0.0,0.0,0.0,0.0,0.006,0.006,0.0,0.029,0.0,0.0,0.0,0.0,0.029,0.824,0.0,0.0,0.0,0.0,0.0,0.147,0.0,0.118,0.0,0.088,0.029,0.0,0.0,0.059,0.059,0.059,0.0,0.324,0.118,40.324,28.265,0.0,0.029,0.0,24.471,1.0,0.0,0.176,0.0,0.0,-0.006,27.882,38.412,671.147,409.471,0.029,0.0,0.0,0.0,0.0,0.0,GK,,,,0.3828,,,,,,,,,,,,,,,,,,,0.4925,0.6453,0.2527,0.4417,0.58
André Silva,pt POR,FW,Werder Bremen (+1),de Bundesliga,28.0,15,4,507,5.633,2,2,2,3,1,0,3.9,1.5,1.0,12,14,39,19,7,38.289,3.372,1.242,0.0,0.0,17.772,1,0.077,-1.9,-1.5,112,158,70.882,1572,344,0.7,1.0,8,6,7,1,2,0,4,2,0,4,12,22,3.915,16,0,1,2,3,0.534,3,3,2,1,0,0.0,1,4,5,0,241,1,4.66,12,55.473,138,7,19,10,163,44.367,10.217,52.515,11,26.615,1.06,-10,-1.774,-2.8,-0.506,0,4,0,0,0,17,13,41.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.355,0.355,0.692,0.266,0.178,0.124,2.13,2.485,6.923,3.373,1.243,0.178,1.42,1.065,1.243,0.178,0.71,0.355,0.0,0.71,2.13,3.905,0.533,2.84,0.0,0.178,0.355,0.533,0.533,0.71,0.178,0.888,0.0,42.781,24.497,1.243,3.373,1.775,28.935,3.018,0.71,2.308,-0.337,-0.266,0.178,19.882,28.047,279.053,61.065,0.178,2.13,0.178,0.0,0.0,1.953,FW,0.4205,,,,0.5954,0.309,0.4876,0.2299,0.3238,0.1684,,,,,,,,,,,,,,,,,
Andrés García,es ESP,"DF,MF",Aston Villa,eng Premier League,21.0,7,5,318,3.5,0,0,0,0,0,0,0.0,0.0,0.2,26,15,28,2,0,0.0,0.57,0.0,0.0,,26.6,0,0.02,0.0,0.0,174,201,86.6,2725,577,0.4,-0.2,3,9,8,5,0,0,18,25,0,0,5,3,0.85,3,0,0,0,0,0.0,9,5,5,3,1,50.0,2,11,10,2,256,5,27.8,12,66.7,159,2,10,6,168,45.0,9.3,58.0,2,14.0,1.57,2,0.57,-0.7,-0.21,0,1,0,0,0,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057,0.113,7.358,4.245,7.925,0.566,0.0,0.0,0.849,2.547,2.264,1.415,5.094,7.075,0.0,0.0,1.415,0.849,0.0,0.849,0.0,0.0,0.0,2.547,1.415,3.113,0.566,2.83,0.566,72.453,45.0,0.566,2.83,1.698,47.547,4.245,0.283,0.0,0.0,0.0,-0.057,49.245,56.887,771.226,163.302,1.415,3.396,0.0,0.0,0.0,0.566,DF,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andu Kelati,de GER,"MF,DF",Holstein Kiel,de Bundesliga,21.0,8,2,288,3.2,1,1,0,0,2,1,0.9,0.9,0.8,3,19,11,6,3,50.0,1.87,0.94,0.17,0.33,13.3,0,0.14,0.1,0.1,95,123,77.2,1834,544,0.3,0.2,4,12,3,2,1,0,6,0,0,0,5,9,2.81,8,0,0,0,1,0.31,7,4,2,4,1,40.0,3,10,3,0,159,3,75.0,1,25.0,88,0,8,4,106,36.0,9.4,71.0,6,25.0,0.25,3,0.94,0.8,0.25,1,4,0,0,0,19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.312,0.312,0.281,0.281,0.25,0.094,0.938,5.938,3.438,1.875,0.938,0.0,1.25,3.75,0.938,0.625,1.875,0.0,0.0,0.0,1.562,2.812,0.312,2.5,0.0,0.0,0.0,2.188,1.25,3.125,0.938,0.938,0.0,49.688,27.5,0.0,2.5,1.25,33.125,5.938,1.25,0.0,0.031,0.031,0.062,29.688,38.438,573.125,170.0,0.938,0.312,0.625,0.0,0.0,1.875,MF,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andy Delort,dz ALG,FW,Montpellier,fr Ligue 1,32.0,9,8,607,6.7,0,0,0,0,1,0,1.3,1.3,0.9,4,6,20,17,6,35.3,2.52,0.89,0.0,0.0,15.7,0,0.08,-1.3,-1.3,54,110,49.1,650,179,0.5,-0.9,7,5,2,2,0,0,11,1,0,1,7,12,2.09,9,0,1,1,1,0.17,4,3,1,2,1,50.0,0,4,3,0,171,3,60.0,2,40.0,90,2,16,8,130,67.0,19.8,73.0,1,25.0,0.0,-16,-2.37,-5.2,-0.9,0,11,0,0,0,9,27,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.193,0.193,0.133,0.074,0.593,0.89,2.965,2.521,0.89,0.0,1.038,0.741,0.297,0.297,1.631,0.148,0.0,0.148,1.038,1.779,0.148,1.334,0.0,0.148,0.148,0.593,0.445,0.593,0.0,0.445,0.0,25.354,13.344,0.297,2.372,1.186,19.275,1.334,1.631,4.003,-0.193,-0.193,-0.133,8.007,16.31,96.376,26.54,0.445,0.297,0.148,0.0,0.0,0.148,FW,0.1184,,,,0.1526,0.0,0.3492,0.1316,0.0577,0.0469,,,,,,,,,,,,,,,,,
Andy Diouf,fr FRA,MF,Lens,fr Ligue 1,21.0,34,27,2225,24.7,1,2,0,0,2,0,2.9,2.9,2.8,82,116,94,40,5,12.5,1.62,0.2,0.03,0.2,20.0,0,0.07,-1.9,-1.9,849,1068,79.5,11438,2865,3.3,-0.8,33,60,31,3,13,2,30,0,11,11,30,85,3.44,63,1,11,2,3,0.12,37,26,10,22,5,40.0,15,52,18,2,1367,43,49.4,37,42.5,751,10,75,42,966,65.0,72.7,77.0,7,22.0,1.53,4,0.16,4.5,0.18,0,43,0,1,0,154,18,36.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.04,0.081,0.117,0.117,0.113,0.133,3.317,4.692,3.802,1.618,0.202,0.0,1.335,2.427,1.254,0.121,1.213,0.0,0.445,0.445,1.213,3.438,0.121,2.548,0.04,0.445,0.081,1.497,1.052,2.103,0.607,0.728,0.081,55.294,30.378,0.404,3.034,1.699,39.074,6.229,1.739,0.728,-0.077,-0.077,-0.032,34.342,43.2,462.661,115.888,1.739,1.497,0.081,0.0,0.04,0.283,MF,,,0.3595,,,,,,,,,,,,,,0.3553,0.3509,0.2529,0.2881,0.4423,0.5815,,,,,
